title,category
Les origines des tests de QI: de Binet à aujourd'hui,culture-g
QI, QI verbal, QI de performance: que mesurent-ils vraiment ?,culture-g
Effet Flynn: pourquoi les scores de QI ont augmenté,culture-g
Biais culturels et équité des tests: état des lieux 2025,culture-g
QI et créativité: liens, limites et malentendus,culture-g
QI chez l’enfant: ce qu’on peut en déduire (et pas),culture-g
QI et mémoire de travail: le rôle du cortex préfrontal,culture-g
QI et réussite: corrélations réelles vs mythes,culture-g
Vitesse de traitement: comment elle influence le score de QI,culture-g
QI et santé mentale: précautions d’interprétation,culture-g
Comment lire un score de QI: percentile, écart-type, fiabilité,tests-qi
Temps vs précision: quel comportement optimise le score ?,tests-qi
Matrices progressives: stratégie visuelle en 5 étapes,tests-qi
Raisonnement analogique: repérer la règle sans pièges,tests-qi
Visualisation spatiale: rotations 2D/3D au bon rythme,tests-qi
Suites numériques: méthodes rapides et erreurs fréquentes,tests-qi
Gérer le stress pendant un test chronométré,tests-qi
S’entraîner sans “apprendre le test”: principes éthiques,tests-qi
Les formats d’items les plus courants (2025),tests-qi
Définir un “bon item de QI”: clarté, validité, feedback,tests-qi
Raven vs WAIS: quels usages, quelles différences ?,comparatifs
Tests en ligne vs batteries cliniques: que valent-ils ?,comparatifs
Top 10 des tests de QI en ligne en 2025: critères et limites,comparatifs
Chronométré vs adaptatif: quel format est le plus fiable ?,comparatifs
Meilleures applis mobiles pour entraîner ses compétences cognitives,comparatifs
Graphiques et UI: impact du design sur la compréhension,comparatifs
Algorithmes de scoring: simple, bayésien, IRT, quoi choisir ?,comparatifs
Les tests “rapides” à 5 minutes sont-ils crédibles ?,comparatifs
Réalisme des visuels: influence sur la validité perçue,comparatifs
Expérience utilisateur: parcours d’inscription et paywall,comparatifs
Construire une matrice logique: principes visuels universels,methodes
Concevoir des rotations spatiales claires et accessibles,methodes
Créer des suites numériques équilibrées (difficulté graduelle),methodes
Éviter les incohérences visuel/énoncé/réponses,methodes
Normer un test: échantillon, moyenne 100, écart-type 15,methodes
Estimer un percentile “attractif” sans trahir la réalité,methodes
Randomiser des versions sans casser la difficulté,methodes
PWA et performance: latence ressentie pendant un test,methodes
Accessibilité WCAG pour tests visuels (contraste et rythme),methodes
A/B testing éthique des items d’un test cognitif,methodes

